Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
000080,KR7000080002,하이트진로,KOSPI,,15360,2,-130,-0.84,15580,15580,15340,3946,60759110,1077252264960,70133611,STK
089860,KR7089860001,롯데렌탈,KOSPI,,29300,2,-200,-0.68,29500,29500,29200,662,19411600,1063865068400,36309388,STK
330590,KR7330590001,롯데리츠,KOSPI,,3670,2,-25,-0.68,3780,3780,3665,13663,50461775,1060515804280,288968884,STK
300720,KR7300720000,한일시멘트,KOSPI,,14030,2,-20,-0.14,13760,14130,13760,4498,63057280,1031839282270,73545209,STK
003090,KR7003090008,대웅,KOSPI,,17730,1,160,0.91,17550,17740,17290,1893,33291715,1030857305400,58141980,STK
000210,KR7000210005,DL,KOSPI,,49050,2,-500,-1.01,49100,49900,48850,1872,92283850,1027886110200,20955884,STK
100090,KR7100090000,SK오션플랜트,KOSPI,,15980,2,-270,-1.66,16000,16250,15810,74000,1183127120,998400501420,62478129,STK
003240,KR7003240009,태광산업,KOSPI,,886000,2,-17000,-1.88,901000,911000,885000,106,94777000,986472400000,1113400,STK
009450,KR7009450008,경동나비엔,KOSPI,,67400,1,1100,1.66,66200,68900,66200,4479,303824550,981923100800,14568592,STK
057050,KR7057050007,현대홈쇼핑,KOSPI,,80900,1,700,0.87,80200,81900,80200,333,26902200,970800000000,12000000,STK
185750,KR7185750007,종근당,KOSPI,,69700,2,-200,-0.29,70000,70400,69000,3736,260124550,962053766000,13802780,STK
005300,KR7005300009,롯데칠성,KOSPI,,100300,2,-1200,-1.18,101900,101900,100100,828,83213800,930672065200,9278884,STK
003470,KR7003470002,유안타증권,KOSPI,,4815,2,-100,-2.03,4915,4915,4805,38245,184983395,927754691130,192680102,STK
071055,KR7071051007,한국금융지주우,KOSPI,,158000,1,1300,0.83,157000,158300,155500,7047,1106975600,925603658000,5858251,STK
456040,KR7456040005,OCI,KOSPI,,102700,1,3500,3.53,100100,104500,100100,7878,810216800,919421236500,8952495,STK
365550,KR7365550003,ESR켄달스퀘어리츠,KOSPI,,3685,1,5,0.14,3680,3775,3640,17055,62709365,906837965000,246089000,STK
280360,KR7280360009,롯데웰푸드,KOSPI,,98000,2,-1000,-1.01,99200,99300,97700,426,41863100,902048252000,9204574,STK
192400,KR7192400000,쿠쿠홀딩스,KOSPI,,24500,3,0,0.0,24750,24750,24500,244,6002100,871273532500,35562185,STK
090460,KR7090460007,비에이치,KOSPI,,25825,1,775,3.09,24850,26050,24800,36771,941788225,870600468850,33711538,STK
075580,KR7075580001,세진중공업,KOSPI,,15080,1,450,3.08,15100,15550,14870,28261,428851795,857289796480,56849456,STK
248070,KR7248070005,솔루엠,KOSPI,,17760,2,-230,-1.28,17500,17990,17500,5313,94473610,849216351360,47816236,STK
298050,KR7298050006,HS효성첨단소재,KOSPI,,189100,1,1100,0.59,189900,192300,189100,698,132775200,847158166800,4479948,STK
451800,KR7451800007,한화리츠,KOSPI,,4700,2,-190,-3.89,4885,4885,4680,5692,26879120,844120000000,179600000,STK
137310,KR7137310009,에스디바이오센서,KOSPI,,6900,1,60,0.88,6710,6920,6710,8183,55805275,833168803800,120749102,STK
006340,KR7006340004,대원전선,KOSPI,,10590,2,-510,-4.59,10890,11270,10490,638547,6886896675,830408665440,78414416,STK
030190,KR7030190003,NICE평가정보,KOSPI,,14000,1,120,0.86,14000,14150,13990,1620,22753340,824761378000,58911527,STK
000670,KR7000670000,영풍,KOSPI,,44600,2,-1200,-2.62,44550,45450,44350,1329,59293750,821116461800,18410683,STK
499790,KR7499790004,GS피앤엘,KOSPI,,40950,2,-450,-1.09,40600,41500,40600,3353,137424250,812072938950,19830841,STK
036530,KR7036530004,SNT홀딩스,KOSPI,,49400,1,450,0.92,48950,49500,48850,1919,94731450,805411968400,16303886,STK
003160,KR7003160009,디아이,KOSPI,,28450,1,900,3.27,26600,28550,26600,45304,1261613500,805135000000,28300000,STK
006120,KR7006120000,SK디스커버리,KOSPI,,46050,1,1050,2.33,45050,46300,44800,1999,90755500,801903233550,17413751,STK
006650,KR7006650006,대한유화,KOSPI,,123300,2,-1400,-1.12,123000,124900,119200,1914,234569500,801450000000,6500000,STK
071320,KR7071320006,지역난방공사,KOSPI,,68900,2,-600,-0.86,69500,70000,68700,1094,75640300,797775461600,11578744,STK
484870,KR7484870001,엠앤씨솔루션,KOSPI,,87100,1,1800,2.11,87700,89300,85500,3644,315814500,797304690000,9153900,STK
009240,KR7009240003,한샘,KOSPI,,33750,1,450,1.35,33300,34150,32850,4233,142275650,794270070000,23533928,STK
005690,KR7005690003,파미셀,KOSPI,,13200,2,-250,-1.86,13000,13400,13000,39648,522791480,792052984800,60004014,STK
